username,password,role
admin.approver,admin123,ADMIN
manueliii.garcia,10001,EMPLOYEE
antonio.lim,10002,EMPLOYEE
biancasofia.aquino,10003,EMPLOYEE
isabella.reyes,10004,EMPLOYEE
eduard.hernandez,10005,EMPLOYEE
andreamae.villanueva,10006,EMPLOYEE
brad.sanjose,10007,EMPLOYEE
alice.romualdez,10008,EMPLOYEE
rosie.atienza,10009,EMPLOYEE
roderick.alvaro,10010,EMPLOYEE
anthony.salcedo,10011,EMPLOYEE
josie.lopez,10012,EMPLOYEE
martha.farala,10013,EMPLOYEE
leila.martinez,10014,EMPLOYEE
fredrick.romualdez,10015,EMPLOYEE
christian.mata,10016,EMPLOYEE
selena.deleon,10017,EMPLOYEE
allison.sanjose,10018,EMPLOYEE
cydney.rosario,10019,EMPLOYEE
mark.bautista,10020,EMPLOYEE
darlene.lazaro,10021,EMPLOYEE
kolby.delossantos,10022,EMPLOYEE
vella.santos,10023,EMPLOYEE
tomas.delrosario,10024,EMPLOYEE
jacklyn.tolentino,10025,EMPLOYEE
percival.gutierrez,10026,EMPLOYEE
garfield.manalaysay,10027,EMPLOYEE
lizeth.villegas,10028,EMPLOYEE
carol.ramos,10029,EMPLOYEE
emelia.maceda,10030,EMPLOYEE
delia.aguilar,10031,EMPLOYEE
johnrafael.castro,10032,EMPLOYEE
carlosian.martinez,10033,EMPLOYEE
beatriz.santos,10034,EMPLOYEE
